concept,entity,actual,predicted
Argentine football manager,Héctor Gabriel Morales,negative,positive
State leader in 2014,Barry Haase,positive,negative
State leader in 2014,Zlatko Lagumdžija,negative,positive
Hill station in India,Noney,positive,negative
Hill station in India,Ganjam district,positive,negative
Hill station in India,Jasidih,positive,negative
Newspaper in New South Wales,Oceania (journal),positive,negative
Newspaper in New South Wales,The Northern Times,positive,negative
Newspaper in New South Wales,Parramatta Advertiser,negative,positive
Newspaper in New South Wales,The Free Thought,negative,positive
FK Sarajevo player,Darko Raca,positive,negative
FK Sarajevo player,Vule Trivunović,positive,negative
FK Sarajevo player,Sretko Vuksanović,positive,negative
FK Sarajevo player,Vukašin Višnjevac,positive,negative
FK Sarajevo player,Frank Liivak,positive,negative
FK Sarajevo player,Said Fazlagić,positive,negative
FK Sarajevo player,Tino-Sven Sušić,positive,negative
FK Sarajevo player,Almedin Hota,positive,negative
FK Sarajevo player,Nemanja Mijušković,positive,negative
Medalist at the 2019 Summer Universiade,Lauren Scherf,positive,negative
Medalist at the 2019 Summer Universiade,Alessia Russo (gymnast),positive,negative
Romania international rugby union player,Piti (footballer),positive,negative
Romania international rugby union player,Iosif Nemes,negative,positive
Romania international rugby union player,Teodor Marian,negative,positive
Romania international rugby union player,Atanasie Tănăsescu,negative,positive
Romania international rugby union player,Mihai Vardală,negative,positive
Romania international rugby union player,Dumitru Volvoreanu,negative,positive
Romania international rugby union player,Tevita Manumua,negative,positive
Romania international rugby union player,Alexandru Grigore,negative,positive
Romania international rugby union player,Ion Gîrleșteanu,negative,positive
Romania international rugby union player,Paul Nedelcovici,negative,positive
Romania international rugby union player,Dumitru Armășel,negative,positive
Romania international rugby union player,Sorin Mihăilescu,negative,positive
Romania international rugby union player,Paul Vidrașcu,negative,positive
"Member of the European Parliament, 1989–1994",Robert Krieps,positive,negative
"Member of the European Parliament, 1989–1994",Dick Ukeiwé,negative,positive
"Member of the European Parliament, 1989–1994",Piet Dankert,negative,positive
"Member of the European Parliament, 1989–1994",Adelaide Aglietta,negative,positive
"Member of the European Parliament, 1989–1994",Carlos Garaikoetxea,negative,positive
"Member of the European Parliament, 1989–1994",Cesare De Picolli,negative,positive
"Member of the European Parliament, 1989–1994",Florus Wijsenbeek,negative,positive
"Member of the European Parliament, 1989–1994",Hans Peters,negative,positive
21st-century American drummer,Taylor Hanson,negative,positive
21st-century American drummer,Kris Bergstrom,negative,positive
21st-century American drummer,Trixie Whitley,negative,positive
21st-century American drummer,Manimou Camara,negative,positive
2017 video game,The Shrouded Isle,positive,negative
2017 video game,Wolfenstein II: The New Colossus,positive,negative
Clube Náutico Capibaribe player,Ives (footballer),positive,negative
Clube Náutico Capibaribe player,Vinícius Eutrópio,positive,negative
Clube Náutico Capibaribe player,Yuri Mamute,positive,negative
Clube Náutico Capibaribe player,Gladstone (footballer),positive,negative
Clube Náutico Capibaribe player,Renaldo (footballer),positive,negative
Clube Náutico Capibaribe player,Daniel Bueno (footballer),positive,negative
Clube Náutico Capibaribe player,Hugo Almeida (Brazilian footballer),positive,negative
Clube Náutico Capibaribe player,"Nivaldo (footballer, born 1980)",positive,negative
Clube Náutico Capibaribe player,"Suéliton (footballer, born 1991)",positive,negative
Clube Náutico Capibaribe player,Rafael Alemão,positive,negative
"Member of the House of Representatives of Japan, 2003–2005",Kenji Kobayashi,positive,negative
PlayStation VR game,Gods (video game),positive,negative
PlayStation VR game,Doom (1993 video game),positive,negative
PlayStation VR game,Esper Dream,positive,negative
PlayStation VR game,Eve Online,positive,negative
PlayStation VR game,Power Eleven,positive,negative
PlayStation VR game,Sharknado: The Video Game,positive,negative
England under-21 international footballer,Ray Wilkins,positive,negative
England under-21 international footballer,Chris Woods,positive,negative
England under-21 international footballer,Hayden Mullins,positive,negative
England under-21 international footballer,Trevor Benjamin,positive,negative
England under-21 international footballer,Alan Curbishley,positive,negative
England under-21 international footballer,Ashley Cole,positive,negative
England under-21 international footballer,Fikayo Tomori,positive,negative
Autobiography,And the Beat Goes On (The Whispers song),positive,negative
Autobiography,Anna Sui (2009 book),positive,negative
Autobiography,Nine Lives (2005 film),positive,negative
Autobiography,"Beam Me Up, Scotty (D.C. Scorpio song)",positive,negative
Autobiography,Fight the Power (Public Enemy song),positive,negative
