concept,entity,actual,predicted,human
Argentine football manager,Héctor Gabriel Morales,negative,positive,positive
State leader in 2014,Barry Haase,positive,negative,positive
State leader in 2014,Zlatko Lagumdžija,negative,positive,positive
Hill station in India,Noney,positive,negative,positive
Hill station in India,Ganjam district,positive,negative,negative
Hill station in India,Jasidih,positive,negative,positive
Newspaper in New South Wales,Oceania (journal),positive,negative,negative
Newspaper in New South Wales,The Northern Times,positive,negative,negative
Newspaper in New South Wales,Parramatta Advertiser,negative,positive,positive
Newspaper in New South Wales,The Free Thought,negative,positive,positive
FK Sarajevo player,Darko Raca,positive,negative,positive
FK Sarajevo player,Vule Trivunović,positive,negative,positive
FK Sarajevo player,Sretko Vuksanović,positive,negative,positive
FK Sarajevo player,Vukašin Višnjevac,positive,negative,positive
FK Sarajevo player,Frank Liivak,positive,negative,positive
FK Sarajevo player,Said Fazlagić,positive,negative,positive
FK Sarajevo player,Tino-Sven Sušić,positive,negative,positive
FK Sarajevo player,Almedin Hota,positive,negative,positive
FK Sarajevo player,Nemanja Mijušković,positive,negative,positive
Medalist at the 2019 Summer Universiade,Lauren Scherf,positive,negative,positive
Medalist at the 2019 Summer Universiade,Alessia Russo (gymnast),positive,negative,positive
Romania international rugby union player,Piti (footballer),positive,negative,negative
Romania international rugby union player,Iosif Nemes,negative,positive,positive
Romania international rugby union player,Teodor Marian,negative,positive,positive
Romania international rugby union player,Atanasie Tănăsescu,negative,positive,positive
Romania international rugby union player,Mihai Vardală,negative,positive,positive
Romania international rugby union player,Dumitru Volvoreanu,negative,positive,positive
Romania international rugby union player,Tevita Manumua,negative,positive,positive
Romania international rugby union player,Alexandru Grigore,negative,positive,positive
Romania international rugby union player,Ion Gîrleșteanu,negative,positive,positive
Romania international rugby union player,Paul Nedelcovici,negative,positive,positive
Romania international rugby union player,Dumitru Armășel,negative,positive,positive
Romania international rugby union player,Sorin Mihăilescu,negative,positive,positive
Romania international rugby union player,Paul Vidrașcu,negative,positive,positive
"Member of the European Parliament, 1989–1994",Robert Krieps,positive,negative,positive
"Member of the European Parliament, 1989–1994",Dick Ukeiwé,negative,positive,positive
"Member of the European Parliament, 1989–1994",Piet Dankert,negative,positive,positive
"Member of the European Parliament, 1989–1994",Adelaide Aglietta,negative,positive,positive
"Member of the European Parliament, 1989–1994",Carlos Garaikoetxea,negative,positive,positive
"Member of the European Parliament, 1989–1994",Cesare De Picolli,negative,positive,positive
"Member of the European Parliament, 1989–1994",Florus Wijsenbeek,negative,positive,positive
"Member of the European Parliament, 1989–1994",Hans Peters,negative,positive,positive
21st-century American drummer,Taylor Hanson,negative,positive,positive
21st-century American drummer,Kris Bergstrom,negative,positive,positive
21st-century American drummer,Trixie Whitley,negative,positive,positive
21st-century American drummer,Manimou Camara,negative,positive,positive
2017 video game,The Shrouded Isle,positive,negative,negative
2017 video game,Wolfenstein II: The New Colossus,positive,negative,negative
Clube Náutico Capibaribe player,Ives (footballer),positive,negative,positive
Clube Náutico Capibaribe player,Vinícius Eutrópio,positive,negative,positive
Clube Náutico Capibaribe player,Yuri Mamute,positive,negative,positive
Clube Náutico Capibaribe player,Gladstone (footballer),positive,negative,positive
Clube Náutico Capibaribe player,Renaldo (footballer),positive,negative,positive
Clube Náutico Capibaribe player,Daniel Bueno (footballer),positive,negative,positive
Clube Náutico Capibaribe player,Hugo Almeida (Brazilian footballer),positive,negative,positive
Clube Náutico Capibaribe player,"Nivaldo (footballer, born 1980)",positive,negative,positive
Clube Náutico Capibaribe player,"Suéliton (footballer, born 1991)",positive,negative,positive
Clube Náutico Capibaribe player,Rafael Alemão,positive,negative,positive
"Member of the House of Representatives of Japan, 2003–2005",Kenji Kobayashi,positive,negative,positive
PlayStation VR game,Gods (video game),positive,negative,negative
PlayStation VR game,Doom (1993 video game),positive,negative,negative
PlayStation VR game,Esper Dream,positive,negative,positive
PlayStation VR game,Eve Online,positive,negative,positive
PlayStation VR game,Power Eleven,positive,negative,positive
PlayStation VR game,Sharknado: The Video Game,positive,negative,positive
England under-21 international footballer,Ray Wilkins,positive,negative,positive
England under-21 international footballer,Chris Woods,positive,negative,positive
England under-21 international footballer,Hayden Mullins,positive,negative,positive
England under-21 international footballer,Trevor Benjamin,positive,negative,positive
England under-21 international footballer,Alan Curbishley,positive,negative,positive
England under-21 international footballer,Ashley Cole,positive,negative,positive
England under-21 international footballer,Fikayo Tomori,positive,negative,positive
Autobiography,And the Beat Goes On (The Whispers song),positive,negative,negative
Autobiography,Anna Sui (2009 book),positive,negative,negative
Autobiography,Nine Lives (2005 film),positive,negative,negative
Autobiography,"Beam Me Up, Scotty (D.C. Scorpio song)",positive,negative,negative
Autobiography,Fight the Power (Public Enemy song),positive,negative,negative
