concept,entity,actual,predicted,human,missing data,missing relation,incorrect relation,incorrect reasoning
History of cities,history of money in Germany until 1871,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
History of cities,Perea,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
History of cities,Caesaromagus,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
History of cities,Sultanate of Nejd,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
History of cities,Nemausus,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
History of cities,Caesarodunum,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
History of cities,History of Marabá,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
History of cities,Cenabum,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
History of cities,military history of Japan,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
History of cities,First Empire of Brazil,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
History of cities,Mediolanum Santonum,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
History of cities,history of English Australians,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
History of cities,history of the Empire of Japan,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
History of cities,territory of Saudi Arabia,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
Embedded system,Namco Warp & Warp,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Embedded system,Naomi 2,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Embedded system,M27,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Embedded system,Mitchell,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Embedded system,Marvin's Maze,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Embedded system,Chihiro,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Irregular galaxy,NGC 3077,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Irregular galaxy,NGC 2915,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Irregular galaxy,IC 3617,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Irregular galaxy,IC 3518,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Irregular galaxy,MCG-02-07-026,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Irregular galaxy,UGC 2014,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Irregular galaxy,UGC 2182,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Irregular galaxy,ESO 249-27,positive,negative,negative,TRUE,FALSE,FALSE,FALSE
Irregular galaxy,UGC 2664,positive,negative,negative,TRUE,FALSE,FALSE,FALSE
